title,year,score
VWSHARAN,2002,2
VWPASSAT,1994,1
VWTOUAREG,2004,2
VWPASSATVARIANT,1999,2
VWCADDY,2013,0
VWPASSATVARIANT,1998,1
VWGOLF,1999,1
VWPOLO,2012,2
VWGOLF,2001,1
VWGOLF,2004,1
VWTOURAN,2003,2
VWTIGUAN,2015,0
VWTIGUAN,2017,0
VWPASSAT,2012,1
VWGOLF,2007,0
VWPASSAT,1997,2
VWPOLO,2003,2
VWPOLO,2007,1
VWCADDY,2014,2
VWCARAVELLE,2014,0
VWGOLF,2002,1
VWTRANSPORTER,1995,2
VWPASSAT,1989,2
VWPASSATVARIANT,2002,0
VWT-CROSS,2019,0
VWCADDY,2017,0
VWPASSATVARIANT,2003,2
VWCRAFTER,2017,2
VWPASSAT,1991,1
VWGOLF,2014,0
VWSHARAN,2004,1
VWPASSATVARIANT,1992,2
VWGOLF,2012,0
VWPASSAT,2006,1
VWGOLF,2006,1
VWPASSAT,1999,2
VWCADDY,2018,0
VWCRAFTER,2007,2
VWPASSAT,2013,0
VWTRANSPORTER,2000,2
VWPOLO,2006,1
VWSCIROCCO,2012,0
VWTRANSPORTER,2003,2
VWGOLFPLUS,2005,1
VWSHARAN,2011,0
VWGOLF,2004,0
VWTOURAN,2005,2
VWSHARAN,2004,2
VWTRANSPORTER,2019,0
VWTOURAN,2008,1
VWTRANSPORTER,2005,2
VWTIGUAN,2016,0
VWGOLF,1999,1
VWGOLFPLUS,2008,0
VWPASSAT,2017,1
VWBORA,1999,1
VWTIGUAN,2016,0
VWBEETLE,1999,2
VWPOLO,2017,0
VWPASSAT,2006,1
VWGOLF,2012,2
VWPASSAT,2006,1
VWBORA,1999,1
VWGOLF,2003,1
VWPASSATCC,2010,1
VWGOLF,1991,3
VWTOUAREG,2014,2
VWMULTIVAN,2003,1
VWPASSATVARIANT,1998,1
VWTOUAREG,2013,0
VWCADDY,2014,0
VWTRANSPORTER,1995,1
VWPASSAT,1997,2
VWGOLF,2002,1
VWTIGUAN,2019,0
VWGOLF,2009,1
VWTRANSPORTER,1996,2
VWTOURAN,2014,0
VWPASSAT,1998,2
VWGOLF,2008,0
VWMULTIVAN,2000,2
VWTIGUAN,2012,1
VWGOLF,1998,2
VWTOURAN,2006,1
VWTOURAN,2007,1
VWGOLF,1994,2
VWGOLF,2000,2
VWCRAFTER,2014,0
VWGOLFVARIANT,2001,2
VWGOLFPLUS,2005,2
VWPASSAT,2001,2
VWPASSAT,2005,2
VWPASSATVARIANT,1999,1
VWPASSAT,2006,0
VWPASSAT,2011,0
VWTOURAN,2003,1
VWGOLF,1999,1
VWTIGUAN,2013,0
VWPASSAT,2016,0
VWGOLF,1997,2
VWNEWBEETLE,1999,2
VWCARAVELLE,2002,2
VWPASSATVARIANT,2004,2
VWPASSAT,2004,2
VWGOLF,2012,0
VWPASSAT,2017,0
VWGOLF,2006,1
VWTRANSPORTER,2000,2
VWTOURAN,2007,2
VWGOLF,2013,0
VWPASSAT,2006,2
VWBORA,2000,2
VWSHARAN,2007,1
VWCRAFTER,2009,2
VWGOLF,2008,0
VWPASSAT,2006,2
VWCRAFTER,2015,1
VWMULTIVAN,1995,1
VWPASSATVARIANT,2000,2
VWPASSAT,2006,2
VWPOLO,2014,0
VWGOLF,2000,2
VWTOURAN,2009,1
VWSHARAN,1996,2
VWBORAVARIANT,1999,2
VWNEWBEETLE,1999,2
VWGOLF,2014,0
VWMULTIVAN,2000,2
VWTRANSPORTER,1998,2
VWGOLF,2001,1
VWMULTIVAN,1998,2
VWPOLO,2006,2
VWSHARAN,2014,1
VWPASSAT,2015,0
VWCADDY,2020,0
VWGOLFPLUS,2010,0
VWGOLF,1998,2
VWPASSAT,2008,0
VWPASSAT,1991,1
VWPASSAT,2006,2
VWPASSAT,2007,1
VWPOLO,2010,2
VWPASSAT,1997,2
VWGOLF,2017,0
VWPOLO,2002,1
VWJETTA,2015,0
VWGOLFVARIANT,2002,1
VWPASSAT,2008,0
VWTRANSPORTER,2004,2
VWGOLF,2001,2
VWMULTIVAN,2002,2
VWPOLO,2003,2
VWPASSAT,2015,1
VWGOLF,2000,2
VWPHAETON,2008,2
VWGOLF,2000,2
VWGOLF,2015,0
VWGOLFPLUS,2005,1
VWPASSAT,2007,1
VWPASSAT,2011,0
VWMULTIVAN,2001,2
VWTIGUAN,2019,0
VWTOURAN,2007,1
VWMULTIVAN,2019,0
VWPASSAT,2003,1
VWNEWBEETLE,1999,1
VWTOURAN,2005,2
VWGOLF,1997,2
VWCADDY,2004,0
VWGOLFPLUS,2010,1
VWPASSATVARIANT,2004,2
VWGOLF,2011,0
VWGOLFPLUS,2007,2
VWSHARAN,2001,2
VWTRANSPORTER,2004,2
VWTOURAN,2008,0
VWNEWBEETLE,2001,2
VWMULTIVAN,1994,2
VWGOLF,2007,0
VWGOLF,2006,2
VWGOLF,1999,1
VWGOLFVARIANT,1995,1
VWCRAFTER,2012,1
VWGOLF,2008,0
VWPASSAT,2009,0
VWGOLF,1989,0
VWGOLFVARIANT,1998,2
VWTOURAN,2005,2
VWTOURAN,2006,1
VWGOLFVARIANT,2001,0
VWMULTIVAN,2012,1
VWFOX,2007,1
VWTRANSPORTER,2003,1
VWGOLF,2014,0
VWCADDY,2013,1
VWGOLF,1999,2
VWPOLO,2008,1
VWCRAFTER,2018,0
VWGOLF,1996,2
VWGOLF,2002,2
VWGOLF,2006,2
VWGOLF,1999,2
VWMULTIVAN,2008,1
VWGOLF,2011,0
VWGOLF,2017,0
VWGOLFVARIANT,1994,1
VWPASSATVARIANT,2001,0
VWGOLF,2001,2
VWTOURAN,2006,1
VWCADDY,2006,1
VWTOUAREG,2008,1
VWGOLF,1989,1
VWGOLFVARIANT,2000,2
VWPHAETON,2004,1
VWPASSAT,2003,0
VWPASSATVARIANT,1994,2
VWTOURAN,2004,1
VWPASSATVARIANT,2002,2
VWSHARAN,1995,1
VWGOLF,2008,1
VWGOLFVARIANT,2004,2
VWGOLF,2001,0
VWCARAVELLE,2013,1
VWGOLFPLUS,2007,0
VWTRANSPORTER,2013,1
VWPASSAT,2011,0
VWGOLF,2005,0
VWPOLO,2014,0
VWPASSATVARIANT,2007,0
VWPASSAT,2013,2
VWPASSAT,1997,1
VWPASSAT,2016,0
VWTOURAN,2004,2
VWGOLF,2003,1
VWGOLF,1992,1
VWPOLO,1998,1
VWTOURAN,2010,1
VWPASSAT,2015,0
VWGOLF,2011,0
VWCARAVELLE,2005,0
VWGOLF,1998,2
VWGOLF,2001,2
VWTOURAN,2004,2
VWPASSAT,2015,0
VWPOLO,2008,2
VWTIGUAN,2012,1
VWPASSAT,1998,1
VWJETTA,2013,2
VWGOLF,2015,0
VWTOURAN,2006,1
VWPASSAT,2012,0
VWPASSAT,2009,2
VWPASSATVARIANT,1994,1
VWCARAVELLE,1997,1
VWTRANSPORTER,1999,2
VWPASSAT,2008,1
VWPASSAT,2014,0
VWTRANSPORTER,1998,2
VWPASSATVARIANT,2003,1
VWTRANSPORTER,2002,1
VWSHARAN,2010,0
VWBORA,1999,1
VWPOLO,2010,0
VWPASSAT,2007,1
VWGOLF,2007,2
VWCADDYLIFE,2007,2
VWGOLFVARIANT,1999,1
VWCADDY,2011,2
VWPASSAT,2010,2
VWPASSAT,2008,1
VWPASSAT,2008,2
VWSHARAN,2006,2
VWPASSAT,2003,2
VWGOLF,2002,2
VWPASSATCC,2008,2
VWSHARAN,2007,2
VWTOURAN,2008,0
VWGOLFVARIANT,2000,1
VWPASSAT,1998,2
VWGOLFVARIANT,2000,1
VWCADDY,2014,2
VWPASSATVARIANT,1989,2
VWJETTA,2014,0
VWPASSATVARIANT,2001,1
VWPASSATVARIANT,1999,1
VWPASSAT,1997,2
VWMULTIVAN,1996,2
VWGOLFVARIANT,2001,1
VWPASSATCC,2009,0
VWPASSAT,2016,1
VWPASSAT,2013,0
VWCADDY,2006,1
VWCARAVELLE,1999,2
VWGOLF,2005,2
VWBUS,1979,1
VWCRAFTER,2017,0
VWSHARAN,2001,2
VWGOLFPLUS,2005,1
VWCARAVELLE,2000,1
VWTIGUAN,2011,0
VWTIGUAN,2019,0
VWGOLF,2012,0
VWTOURAN,2007,1
VWGOLF,2010,1
VWGOLF,2007,1
VWSHARAN,2000,2
VWTOURAN,2010,1
VWPASSATVARIANT,2004,0
VWPASSATVARIANT,2002,1
VWTRANSPORTER,2017,2
VWPASSAT,2002,2
VWPASSAT,2006,0
VWCADDYLIFE,2007,2
VWGOLFVARIANT,2013,1
VWTOURAN,2005,2
VWGOLFPLUS,2005,1
VWPASSATVARIANT,1998,2
VWTRANSPORTER,1998,0
VWPASSAT,2015,0
VWSHARAN,1998,2
VWPASSAT,1994,2
VWSHARAN,2010,2
VWFOX,2006,1
VWGOLF,1998,1
VWPASSAT,1992,1
VWPASSAT,2001,2
VWCARAVELLE,2006,1
VWGOLF,2006,2
VWTIGUAN,2008,0
VWPASSATVARIANT,2003,1
VWBORAVARIANT,2004,1
VWPASSAT,2013,0
VWTOUAREG,2005,2
VWGOLF,2004,1
VWPOLO,2007,0
VWJETTA,2006,1
VWCADDY,2012,1
VWEOS,2008,0
VWGOLF,2001,1
VWCRAFTER,2011,1
VWCADDY,2015,2
VWCARAVELLE,2010,1
VWMULTIVAN,1996,1
VWBORA,1999,1
VWPASSATVARIANT,2007,2
VWPASSAT,1991,1
VWGOLFVARIANT,2000,1
VWCADDY,2014,1
VWGOLFVARIANT,1994,2
VWCADDY,2009,1
VWPASSAT,2010,0
VWPASSAT,2000,0
VWGOLF,2003,1
VWLUPO,2003,1
VWMULTIVAN,1996,2
VWPASSAT,2015,0
VWCARAVELLE,2006,2
VWGOLF,1990,2
VWTOUAREG,2005,3
VWMULTIVAN,2019,0
VWTRANSPORTER,2010,1
VWGOLF,2013,0
VWSHARAN,2016,0
VWPASSAT,2013,1
VWTRANSPORTER,2001,2
VWPASSAT,1997,2
VWCARAVELLE,2000,1
VWPASSATVARIANT,1997,1
VWPASSAT,2014,1
VWPASSATVARIANT,1995,2
VWPASSATVARIANT,2002,1
VWMULTIVAN,2000,2
VWTOUAREG,2015,2
VWTRANSPORTER,2005,0
VWPASSAT,2011,0
VWCADDY,2005,2
VWPASSAT,2000,3
VWJETTA,1987,1
VWPASSATVARIANT,2003,2
VWCRAFTER,2013,2
VWSHARAN,2001,2
VWPASSAT,2015,1
VWTOURAN,2004,2
VWGOLF,2004,0
VWSHARAN,2005,2
VWGOLF,2000,1
VWCADDYLIFE,2006,1
VWGOLFVARIANT,1994,1
VWCARAVELLE,1994,2
VWJETTA,2014,0
VWCADDY,2017,0
VWGOLF,2003,0
VWCRAFTER,2019,0
VWTOURAN,2012,1
VWPOLO,2009,1
VWMULTIVAN,1996,2
VWGOLF,2011,0
VWTOURAN,2010,1
VWTOUAREG,2005,2
VWTRANSPORTER,2002,2
VWTOURAN,2009,1
VWGOLFVARIANT,2003,2
VWTIGUAN,2010,0
VWGOLF,2005,2
VWGOLFVARIANT,1997,2
VWCADDY,2017,0
VWGOLFVARIANT,1999,2
VWGOLF,2014,0
VWTOURAN,2007,0
VWSHARAN,2018,2
VWCADDY,2017,0
VWCRAFTER,2006,2
VWGOLF,2009,1
VWGOLF,2009,2
VWPASSAT,2012,2
VWSHARAN,1995,1
VWTOURAN,2005,2
VWTOURAN,2009,1
VWCADDY,2015,0
VWPOLO,2012,1
VWCARAVELLE,2007,0
VWCADDYLIFE,2006,2
VWCARAVELLE,2008,1
VWGOLF,1998,2
VWPASSATVARIANT,2001,1
VWGOLFVARIANT,2001,1
VWTOUAREG,2012,2
VWPASSATVARIANT,1999,1
VWGOLF,1998,2
VWMULTIVAN,2006,1
VWTOURAN,2005,2
VWTOURAN,2011,2
VWBORAVARIANT,2000,1
VWGOLFVARIANT,2005,2
VWPASSATVARIANT,2005,2
VWPASSATVARIANT,1999,2
VWTOUAREG,2007,2
VWSHARAN,2001,2
VWPOLO,2007,1
VWSHARAN,2010,0
VWPASSATVARIANT,1996,2
VWGOLF,2003,1
VWPASSATVARIANT,1995,2
VWPASSAT,1997,1
VWPASSAT,2009,2
VWCADDY,2009,1
VWGOLF,1988,2
VWGOLF,1998,1
VWPASSAT,1999,1
VWGOLF,1992,1
VWPOLO,2005,0
VWTOURAN,2003,1
VWPOLO,2009,1
VWGOLFVARIANT,2002,1
VWPASSAT,2009,2
VWPASSATVARIANT,1996,2
VWGOLF,2012,0
VWPASSAT,2009,2
VWCRAFTER,2008,2
VWTOURAN,2004,1
VWTOURAN,2004,1
VWPOLO,2008,0
VWPASSAT,1999,2
VWCRAFTER,2015,0
VWGOLFVARIANT,2001,1
VWGOLF,2014,0
VWPASSAT,2008,0
VWPASSAT,2010,0
VWGOLF,1996,1
VWTRANSPORTER,2002,2
VWPASSAT,2014,0
VWPASSAT,2006,1
VWLT35,1999,1
VWPASSAT,2001,0
VWPASSATVARIANT,1999,2
VWPASSAT,2000,1
VWTRANSPORTER,1999,1
VWSHARAN,2002,2
VWGOLF,2000,0
VWGOLF,2005,2
VWTOURAN,2004,1
VWBORA,1998,2
VWGOLF,2008,1
VWBORA,2004,0
VWCRAFTER,2018,0
VWAMAROK,2015,0
VWSHARAN,2001,1
VWCRAFTER,2016,2
VWPASSAT,2015,0
VWPASSAT,2004,2
VWMULTIVAN,1996,1
VWGOLF,1995,1
VWTRANSPORTER,2002,2
VWCRAFTER,2008,2
VWGOLF,1989,2
VWGOLF,1997,2
VWPASSAT,2008,0
VWGOLF,1999,1
VWGOLF,1995,1
VWGOLF,1999,2
VWTOUAREG,2004,2
VWPASSATVARIANT,1994,1
VWTOURAN,2007,2
VWGOLF,2013,0
VWPASSAT,1997,2
VWAMAROK,2012,0
VWTOUAREG,2004,1
VWTOURAN,2005,2
VWPOLO,2010,1
VWPASSATVARIANT,2003,1
VWBORA,2001,1
VWTRANSPORTER,2003,2
VWSHARAN,2003,2
VWAMAROK,2010,2
VWCADDY,2005,1
VWGOLF,2004,2
VWBORA,2004,0
VWGOLFVARIANT,2006,2
VWUP!,2014,0
VWPOLO,2013,0
VWPASSAT,2006,1
VWKOMBI,2008,2
VWEOS,2007,1
VWPASSAT,2007,1
VWCC,2014,3
VWTIGUAN,2015,0
VWCADDYLIFE,2008,0
VWSHARAN,2002,1
VWSHARAN,2005,1
VWTOURAN,2008,1
VWPASSATCC,2008,1
VWPASSAT,2006,2
VWPOLO,2008,1
VWCRAFTER,2009,1
VWGOLF,2016,1
VWTIGUAN,2008,2
VWCADDY,2011,1
VWCADDY,2015,0
VWCADDY,2006,2
VWCRAFTER,2018,0
VWTOURAN,2010,2
VWGOLF,2005,2
VWPASSATVARIANT,1998,0
VWSHARAN,2002,1
VWGOLF,2001,0
VWPASSAT,2016,0
VWTRANSPORTER,2011,2
VWGOLF,2004,0
VWGOLF,2016,0
VWTOURAN,2009,1
VWCARAVELLE,1999,2
VWGOLF,2014,0
VWTOUAREG,2010,0
VWPASSAT,2008,2
VWMULTIVAN,2013,1
VWPASSAT,2004,2
VWTOURAN,2004,2
VWTIGUAN,2012,0
VWPASSATVARIANT,1999,2
VWPASSAT,2015,0
VWTOURAN,2009,1
VWSHARAN,2000,2
VWCADDY,2004,1
VWPASSATVARIANT,1989,1
VWTRANSPORTER,2007,2
VWPASSAT,2016,0
VWPASSAT,2015,0
VWGOLFVARIANT,2005,2
VWGOLFPLUS,2008,1
VWFOX,2008,1
VWGOLF,2002,1
VWJETTA,2013,2
VWPASSATVARIANT,2001,1
VWAMAROK,2019,0
VWGOLF,2002,2
VWGOLF,2000,0
VWTOURAN,2008,0
VWCRAFTER,2007,2
VWPOLO,2011,2
VWTIGUAN,2019,0
VWGOLF,2002,2
VWPASSATVARIANT,1995,2
VWGOLF,2003,2
VWMULTIVAN,1998,1
VWGOLF,2003,2
VWSHARAN,2004,1
VWPASSATVARIANT,1995,2
VWCADDYLIFE,2007,1
VWCADDY,2015,0
VWSHARAN,2007,2
VWPASSAT,2007,1
VWPASSAT,1990,1
VWGOLF,2017,0
VWTRANSPORTER,2013,1
VWTIGUAN,2017,0
VWCARAVELLE,2001,2
VWMULTIVAN,2012,0
VWTRANSPORTER,2007,2
VWTOURAN,2011,0
VWGOLF,2000,2
VWPASSATVARIANT,2003,2
VWGOLFVARIANT,2002,1
VWPASSAT,1998,1
VWTIGUAN,2017,0
VWSHARAN,2000,2
VWGOLF,2009,2
VWPASSATVARIANT,1999,1
VWLT35,2002,1
VWGOLFPLUS,2007,1
VWGOLFPLUS,2007,1
VWTIGUAN,2008,1
VWGOLF,1999,1
VWPASSATVARIANT,2006,1
VWAMAROK,2013,1
VWGOLF,2015,0
VWPASSAT,2009,2
VWGOLF,2013,0
VWGOLF,2015,0
VWCARAVELLE,1996,2
VWPASSATVARIANT,1994,1
VWPOLO,2016,0
VWPOLO,2013,2
VWTRANSPORTER,2000,1
VWTIGUAN,2012,1
VWGOLF,1994,1
VWGOLFVARIANT,2000,3
VWCRAFTER,2015,0
VWT-CROSS,2019,0
VWJETTA,2006,2
VWLT46,2001,2
VWPASSATVARIANT,1998,2
VWJETTA,2013,0
VWGOLF,2013,0
VWGOLF,1993,0
VWGOLF,2001,2
VWPASSAT,2007,0
VWPASSAT,2019,0
VWCADDY,2011,2
VWCARAVELLE,2006,2
VWPOLO,2007,0
VWGOLF,1991,2
VWPASSAT,2015,0
VWPOLO,2013,1
VWGOLF,1998,1
VWTRANSPORTER,2008,1
VWCADDY,2016,0
VWCRAFTER,2014,0
VWSHARAN,2005,0
VWPASSAT,2008,1
VWCRAFTER,2015,2
VWPASSAT,2008,1
VWGOLF,2018,0
VWGOLF,2002,1
VWTRANSPORTER,2009,1
VWGOLF,2010,0
VWTOURAN,2012,0
VWPASSATVARIANT,1998,1
VWTOUAREG,2005,2
VWPASSAT,2007,2
VWGOLF,1988,2
VWTIGUAN,2014,0
VWGOLFPLUS,2006,0
VWPASSATVARIANT,2002,1
VWCC,2014,0
VWGOLF,1998,2
VWPASSAT,2000,2
VWPOLO,2004,2
VWTOURAN,2008,0
VWPASSAT,2006,2
VWPOLO,2004,1
VWPASSAT,2001,0
VWTRANSPORTER,2003,2
VWTRANSPORTER,1998,1
VWCADDY,2002,1
VWPASSATVARIANT,2001,2
VWPASSATVARIANT,1998,1
VWPASSATVARIANT,1996,1
VWPASSATVARIANT,1996,2
VWSHARAN,2011,1
VWGOLF,2003,2
VWTOURAN,2007,0
VWPASSATVARIANT,1998,2
VWGOLFVARIANT,2001,3
VWTRANSPORTER,2000,2
VWSHARAN,1999,2
VWTOURAN,2003,2
VWGOLF,2007,1
VWPASSAT,2013,1
VWPASSATVARIANT,1994,1
VWGOLF,1997,1
VWGOLF,1998,2
VWPASSATVARIANT,1998,1
VWGOLF,2014,0
VWGOLFPLUS,2010,1
VWGOLFPLUS,2012,2
VWSHARAN,2001,1
VWSHARAN,1997,1
VWTRANSPORTER,1999,3
VWGOLF,2007,2
VWSHARAN,2000,2
VWTIGUAN,2013,1
VWPASSATVARIANT,1999,2
VWTRANSPORTER,1999,1
VWGOLF,2001,0
VWGOLF,1999,2
VWKOMBI,2013,0
VWCADDYLIFE,2009,1
VWTOURAN,2007,2
VWPASSATVARIANT,2005,0
VWCRAFTER,2019,0
VWGOLF,1994,2
VWCADDY,2007,1
VWGOLF,2004,1
VWCADDY,2015,0
VWTRANSPORTER,2000,2
VWSHARAN,1997,1
VWTOURAN,2005,1
VWTOURAN,2009,0
VWPASSAT,2008,1
VWAMAROK,2015,0
VWJETTA,2014,0
VWBORA,1998,2
VWPASSATVARIANT,1993,1
VWTOURAN,2007,2
VWTRANSPORTER,2003,2
VWPOLO,2002,2
VWGOLF,1999,1
VWCADDY,2015,0
VWTOURAN,2008,2
VWGOLF,1991,2
VWTRANSPORTER,1996,2
VWGOLF,2008,2
VWPASSATVARIANT,1994,2
VWGOLFVARIANT,2008,1
VWGOLF,2010,2
VWGOLF,2005,1
VWPASSATVARIANT,1999,2
VWSHARAN,2005,1
VWGOLF,2019,0
VWGOLF,2002,2
VWGOLFVARIANT,2001,2
VWPASSAT,2008,2
VWVENTO,1994,3
VWTOURAN,2017,0
VWGOLF,1999,2
VWEOS,2007,1
VWTRANSPORTER,2004,2
VWCARAVELLE,2002,2
VWGOLF,2009,1
VWTRANSPORTER,2000,2
VWPOLO,2011,2
VWMULTIVAN,2006,2
VWPASSAT,2007,1
VWPASSAT,2007,2
VWBORA,2002,2
VWTOURAN,2007,1
VWPASSAT,2007,2
VWGOLFVARIANT,2006,2
VWPASSAT,2005,1
VWGOLF,2000,1
VWPASSAT,2013,2
VWBORA,2000,1
VWSHARAN,2000,1
VWPASSATVARIANT,1996,2
VWPASSAT,1998,1
VWSHARAN,2011,1
VWJETTA,2012,0
VWPASSATVARIANT,1999,1
VWSHARAN,2015,0
VWPASSAT,2011,0
VWPASSATVARIANT,1996,2
VWPASSATVARIANT,1999,1
VWPASSAT,2017,0
VWPASSAT,2007,1
VWTOUAREG,2016,0
VWGOLF,1999,2
VWTOUAREG,2013,0
VWGOLFVARIANT,1996,2
VWTIGUAN,2017,0
VWMULTIVAN,2008,1
VWSHARAN,2011,2
VWTRANSPORTER,1993,2
VWBORA,2003,2
VWPASSATVARIANT,2000,2
VWSHARAN,2003,2
VWCALIFORNIA,2007,0
VWTRANSPORTER,2012,1
VWGOLFVARIANT,2001,2
VWPASSATCC,2008,2
VWPASSAT,1997,0
VWGOLF,2000,2
VWPOLO,2000,1
VWGOLFVARIANT,2001,0
VWGOLF,2004,1
VWGOLF,2000,1
VWLUPO,2001,2
VWTRANSPORTER,2001,0
VWTOURAN,2004,2
VWPASSATVARIANT,2001,2
VWPASSATVARIANT,1995,2
VWGOLF,1998,2
VWGOLFVARIANT,2000,2
VWGOLFVARIANT,2001,2
VWGOLFVARIANT,2001,2
VWPASSATVARIANT,1999,2
VWGOLF,2009,1
VWPASSAT,2007,2
VWJETTA,2015,0
VWGOLFVARIANT,2002,0
VWPASSATVARIANT,1999,0
VWTIGUAN,2014,0
VWTOUAREG,2006,1
VWGOLFPLUS,2008,1
VWPASSATVARIANT,2005,1
VWPASSATVARIANT,2001,0
VWSHARAN,2007,1
VWMULTIVAN,2000,2
VWPASSAT,2006,2
VWGOLF,2008,2
VWCADDY,2007,2
VWTOURAN,2008,1
VWCADDY,2013,0
VWGOLF,2000,1
VWPASSATVARIANT,2003,1
VWPASSAT,2004,1
VWPOLO,2005,1
VWGOLF,1998,0
VWGOLF,2016,0
VWPASSAT,2016,0
VWPASSATVARIANT,2003,2
VWTOURAN,2009,0
VWGOLF,1999,1
VWGOLF,2003,2
VWTOURAN,2007,1
VWCADDYLIFE,2007,2
VWTOUAREG,2005,1
VWJETTA,2013,1
VWTRANSPORTER,2016,0
VWTOUAREG,2006,1
VWGOLF,2011,2
VWPOLO,2017,0
VWGOLF,2007,0
VWSHARAN,2003,2
VWGOLF,1999,2
VWTRANSPORTER,2007,1
VWTRANSPORTER,2010,0
VWGOLF,2000,0
VWTRANSPORTER,2007,1
VWTIGUAN,2015,2
VWTRANSPORTER,1995,2
VWPASSAT,2015,0
VWSHARAN,2004,2
VWT-CROSS,2019,0
VWGOLFPLUS,2005,1
VWSHARAN,2002,2
VWPASSATVARIANT,2002,2
VWGOLF,2007,2
VWGOLFVARIANT,2001,2
VWGOLF,2002,2
VWGOLF,2012,0
VWGOLF,2013,2
VWJETTA,1991,1
VWGOLF,2014,2
VWGOLF,2008,0
VWCADDY,2012,1
VWPASSATVARIANT,1999,2
VWCRAFTER,2008,3
VWPASSAT,2010,1
VWMULTIVAN,2015,1
VWGOLF,2002,2
VWTIGUAN,2016,0
VWPASSAT,2014,0
VWPASSAT,2013,1
VWMULTIVAN,2012,0
VWGOLF,2007,1
VWGOLFVARIANT,1996,1
VWGOLFVARIANT,2001,2
VWCRAFTER,2014,0
VWJETTA,2009,0
VWPASSAT,1997,2
VWFOX,2005,2
VWGOLFPLUS,2005,2
VWGOLF,2013,1
VWPASSAT,1991,3
VWPASSAT,2009,1
VWPASSATVARIANT,1997,2
VWGOLFVARIANT,2003,2
VWTOURAN,2004,1
VWTOUAREG,2013,0
VWTOURAN,2007,0
VWGOLF,2002,2
VWPASSATVARIANT,1994,2
VWSHARAN,1999,2
VWJETTA,2016,1
VWPHAETON,2008,1
VWPASSAT,1999,2
VWCADDY,2007,2
VWPOLO,2006,1
VWGOLF,1990,0
VWPOLO,2006,0
VWJETTA,2005,1
VWPASSATVARIANT,2001,1
VWNEWBEETLE,2000,2
VWPASSAT,2014,0
VWPASSAT,2007,1
VWKOMBI,2010,2
VWGOLF,1997,2
VWTOURAN,2013,2
VWGOLF,2015,2
VWGOLF,2015,0
VWSHARAN,2004,2
VWSHARAN,2003,2
VWSHARAN,2005,0
VWPOLO,2016,1
VWTRANSPORTER,2011,2
VWTRANSPORTER,2005,2
VWTOURAN,2014,0
VWGOLF,1998,2
VWPASSAT,2010,1
VWCARAVELLE,1995,1
VWCARAVELLE,1998,2
VWGOLF,2007,1
VWVENTO,1993,1
VWSHARAN,1998,3
VWPASSAT,2013,1
VWSHARAN,2004,2
VWTOURAN,2007,0
VWLT35,1999,1
VWPASSATVARIANT,2002,2
VWJETTA,2015,0
VWGOLF,2011,0
VWSHARAN,2004,2
VWGOLF,1999,1
VWLT46,2003,2
VWGOLFPLUS,2006,2
VWCARAVELLE,2002,2
VWPASSAT,1999,2
VWTOURAN,2010,1
VWGOLF,1998,2
VWTOUAREG,2005,1
VWCADDY,2011,0
VWCADDY,2018,0
VWCRAFTER,2017,0
VWSHARAN,2006,2
VWTRANSPORTER,2008,1
VWCADDY,2012,3
VWCRAFTER,2014,2
VWPASSAT,2016,0
VWLUPO,2000,2
VWGOLFPLUS,2006,1
VWGOLF,2000,1
VWGOLF,2002,2
VWPASSAT,2013,0
VWGOLF,2001,2
VWPASSAT,2007,2
VWCADDY,2004,2
VWPASSATVARIANT,2002,2
VWTOURAN,2007,1
VWPASSATVARIANT,2006,2
VWCADDY,2005,1
VWGOLF,2016,0
VWAMAROK,2014,0
VWTOURAN,2006,1
VWCRAFTER,2010,2
VWPASSAT,2014,0
VWTOUAREG,2006,2
VWCADDY,2015,1
VWJETTA,1999,2
VWTOUAREG,2004,2
VWLUPO,1999,1
VWLT35,1999,2
VWPASSATVARIANT,1984,2
VWGOLFPLUS,2007,1
VWPOLO,2010,0
VWCRAFTER,2007,1
VWSHARAN,2001,2
VWTOURAN,2012,1
VWGOLFVARIANT,2005,1
VWGOLF,2017,0
VWLT35,1999,2
VWTOURAN,2006,0
VWTOURAN,2011,1
VWTOUAREG,2016,0
VWPASSATVARIANT,1997,2
VWGOLFPLUS,2008,1
VWLT35,2002,2
VWSHARAN,2007,2
VWPOLO,2014,0
VWGOLF,2006,2
VWPASSAT,2011,1
VWGOLF,1999,1
VWTIGUAN,2019,0
VWPASSATVARIANT,1998,2
VWPASSATVARIANT,2003,1
VWGOLFVARIANT,2001,1
VWTOUAREG,2015,0
VWPASSATVARIANT,2003,1
VWPASSAT,2007,0
VWGOLF,2007,0
VWPASSAT,2005,1
VWPASSAT,2012,0
VWMULTIVAN,2003,2
VWPASSATVARIANT,2000,1
VWPOLO,2004,2
VWPASSAT,2013,2
VWGOLF,1999,0
VWCRAFTER,2014,2
VWNEWBEETLE,2005,1
VWSHARAN,2004,1
VWCADDY,2007,1
VWKOMBI,2017,0
VWLUPO,2000,2
VWPASSAT,2016,0
VWNEWBEETLE,1999,1
VWPASSAT,2005,0
VWPASSAT,2011,1
VWGOLF,2013,1
VWTOURAN,2006,1
VWPASSAT,2012,0
VWPASSATVARIANT,1999,2
VWCRAFTER,2010,2
VWSHARAN,1998,1
VWGOLFVARIANT,2001,2
VWTOUAREG,2007,1
VWPASSATVARIANT,1994,2
VWGOLF,2007,0
